,Suburb,Address,Rooms,Type,Price,Bedroom,Bathroom,Car,Age,Lattitude,Longtitude
3248,Heidelberg Heights,2/71 Southern Rd,2,Apartment,440000.0,2.0,1.0,2.0,49.0,-37.7429,145.0519
3249,Heidelberg Heights,19 Collins St,2,Bungalow,650000.0,2.0,1.0,3.0,69.0,-37.7377,145.0541
3250,Heidelberg Heights,8 Leonard St,5,Bungalow,890000.0,5.0,2.0,2.0,47.0,-37.7487,145.0522
3251,Heidelberg Heights,82 Southern Rd,3,Bungalow,650000.0,3.0,1.0,2.0,64.0,-37.7422,145.05
3254,Heidelberg Heights,2/35 Porter Rd,2,Apartment,605000.0,2.0,1.0,1.0,11.0,-37.7416,145.0567
3255,Heidelberg Heights,478 Waterdale Rd,8,Bungalow,770000.0,8.0,4.0,4.0,59.0,-37.7426,145.048
3256,Heidelberg Heights,498 Waterdale Rd,3,Bungalow,950000.0,3.0,1.0,2.0,59.0,-37.7406,145.0483
3257,Heidelberg Heights,13 Altona St,4,Bungalow,856000.0,4.0,1.0,2.0,44.0,-37.7477,145.0565
3258,Heidelberg Heights,3/17 Burns Ct,3,Bungalow,600000.0,3.0,2.0,2.0,7.0,-37.7358,145.0559
3263,Heidelberg Heights,7 Thames St,3,Bungalow,1100000.0,3.0,1.0,0.0,94.0,-37.7532,145.0554
3264,Heidelberg Heights,484 Waterdale Rd,3,Bungalow,915000.0,3.0,1.0,1.0,69.0,-37.7416,145.0481
3265,Heidelberg Heights,2/601 Upper Heidelberg Rd,2,Apartment,400000.0,2.0,1.0,1.0,49.0,-37.747,145.0575
3266,Heidelberg Heights,522 Waterdale Rd,2,Bungalow,526000.0,2.0,1.0,1.0,25.0,-37.7389,145.0486
3268,Heidelberg Heights,13 Glover St,3,Bungalow,550000.0,3.0,1.0,1.0,59.0,-37.7363,145.0506
3270,Heidelberg Heights,96 Lloyd St,2,Bungalow,590000.0,2.0,1.0,2.0,64.0,-37.7435,145.0486
3271,Heidelberg Heights,146 Porter Rd,2,Bungalow,920000.0,2.0,1.0,3.0,69.0,-37.7333,145.0588
3272,Heidelberg Heights,26 Southern Rd,2,Bungalow,460000.0,2.0,1.0,2.0,64.0,-37.7428,145.0557
3274,Heidelberg Heights,11 Sackville St,4,Bungalow,1000500.0,4.0,2.0,1.0,69.0,-37.7478,145.0477
3275,Heidelberg Heights,470 Waterdale Rd,3,Bungalow,631000.0,3.0,1.0,1.0,59.0,-37.7432,145.0479
3277,Heidelberg West,23 Redwood St,3,Bungalow,691000.0,2.0,1.0,2.0,54.0,-37.7456,145.0397
3278,Heidelberg West,73 Pacific Dr,3,Bungalow,560000.0,3.0,1.0,1.0,59.0,-37.7369,145.0376
3283,Heidelberg West,2/287 Liberty Pde,2,Townhouse,370000.0,2.0,1.0,1.0,6.0,-37.7383,145.036
3284,Heidelberg West,59 Alamein Rd,3,Bungalow,532000.0,3.0,1.0,1.0,64.0,-37.7369,145.0422
3285,Heidelberg West,15 Derna St,3,Bungalow,740000.0,3.0,2.0,1.0,59.0,-37.747,145.0402
3289,Heidelberg West,6 Midway St,3,Bungalow,525000.0,3.0,1.0,2.0,49.0,-37.7409,145.0398
3293,Heidelberg West,35 Carbeena Pde,2,Bungalow,515500.0,2.0,1.0,1.0,59.0,-37.7441,145.0379
3294,Heidelberg West,186 Oriel Rd,3,Bungalow,800000.0,3.0,1.0,3.0,69.0,-37.746,145.0422
3295,Heidelberg West,12 Corvette St,2,Bungalow,450000.0,2.0,1.0,2.0,59.0,-37.7392,145.0425
3297,Heidelberg West,23 Catalina St,2,Bungalow,620000.0,2.0,1.0,2.0,69.0,-37.7389,145.0393
3299,Heidelberg West,15/459 Waterdale Rd,2,Apartment,360000.0,2.0,1.0,1.0,49.0,-37.7444,145.047
3300,Heidelberg West,163 Dougharty Rd,2,Bungalow,440500.0,2.0,1.0,1.0,64.0,-37.7341,145.0434
3301,Heidelberg West,29 Morotai Pde,4,Bungalow,758000.0,4.0,1.0,1.0,64.0,-37.7466,145.0428
3306,Heidelberg West,523 Waterdale Rd,3,Bungalow,480000.0,3.0,1.0,1.0,39.0,-37.739000000000004,145.0481
3307,Heidelberg West,5 Barce Pl,4,Bungalow,715000.0,4.0,2.0,2.0,29.0,-37.738,145.0374
3309,Heidelberg West,5 Mulberry Pde,3,Bungalow,646250.0,3.0,1.0,2.0,54.0,-37.747,145.0389
3310,Heidelberg West,16 Achilles St,3,Bungalow,1375000.0,3.0,1.0,1.0,59.0,-37.7344,145.04399999999995
3311,Heidelberg West,111 Ramu Pde,3,Bungalow,722000.0,3.0,1.0,2.0,69.0,-37.7386,145.0387
3316,Heidelberg West,22 Kokoda St,2,Bungalow,725000.0,2.0,1.0,3.0,59.0,-37.7443,145.0462
3323,Heidelberg West,262 Liberty Pde,3,Bungalow,465000.0,2.0,1.0,1.0,59.0,-37.7399,145.0369
3325,Hughesdale,18 Paget St,2,Bungalow,1550000.0,2.0,1.0,1.0,69.0,-37.8931,145.0791
3326,Hughesdale,1/13 Swindon Rd,2,Apartment,516000.0,2.0,1.0,1.0,49.0,-37.8967,145.0858
3327,Hughesdale,20 Dalston Rd,3,Bungalow,1340000.0,3.0,1.0,1.0,99.0,-37.8994,145.0816
3329,Hughesdale,30 Kinrade St,3,Bungalow,1316000.0,2.0,1.0,2.0,70.0,-37.9072,145.0762
3330,Hughesdale,2/19 Swindon Rd,3,Townhouse,828000.0,3.0,2.0,1.0,17.0,-37.8966,145.0863
3331,Hughesdale,19 Canterbury St,3,Bungalow,1055000.0,3.0,1.0,1.0,89.0,-37.9022,145.0811
3332,Hughesdale,4/89 Kangaroo Rd,2,Apartment,623000.0,2.0,1.0,1.0,49.0,-37.8988,145.0781
3333,Hughesdale,3 Paget St,4,Bungalow,2120000.0,4.0,2.0,2.0,94.0,-37.8927,145.0781
3334,Hughesdale,8 Bowmore St,4,Bungalow,1745000.0,4.0,2.0,1.0,94.0,-37.9002,145.0768
3335,Hughesdale,14 Bowmore St,4,Bungalow,1700000.0,4.0,2.0,2.0,79.0,-37.9002,145.0773
3336,Hughesdale,105/175 Kangaroo Rd,2,Apartment,420000.0,2.0,1.0,1.0,9.0,-37.9008,145.0859
3337,Hughesdale,6/2 Paddington Rd,2,Apartment,375500.0,2.0,1.0,1.0,49.0,-37.8934,145.0853
3341,Hughesdale,22 Skipton Rd,4,Bungalow,1337000.0,4.0,1.0,2.0,89.0,-37.8991,145.0804
3342,Hughesdale,3/14 Rugby Rd,2,Apartment,455000.0,2.0,1.0,2.0,59.0,-37.8942,145.0867
3343,Hughesdale,5/7 Warrigal Rd,2,Apartment,400000.0,2.0,1.0,1.0,44.0,-37.8945,145.0876
3345,Hughesdale,37 Darling St,3,Bungalow,1210000.0,3.0,1.0,2.0,79.0,-37.9034,145.0796
3346,Hughesdale,3 Dalston Rd,4,Bungalow,1167500.0,3.0,2.0,1.0,69.0,-37.898,145.0815
3347,Hughesdale,1/3 Euston Rd,3,Townhouse,900000.0,3.0,2.0,1.0,44.0,-37.8937,145.0779
3349,Hughesdale,1051 North Rd,2,Bungalow,677500.0,2.0,1.0,4.0,69.0,-37.9084,145.0775
3351,Ivanhoe,2/125 Locksley Rd,2,Apartment,430000.0,2.0,1.0,1.0,49.0,-37.7662,145.0516
3352,Ivanhoe,3/3 Merton St,1,Apartment,460000.0,1.0,1.0,0.0,49.0,-37.7759,145.043
3354,Ivanhoe,20 Green St,4,Bungalow,2265000.0,4.0,2.0,2.0,94.0,-37.7652,145.041
3356,Ivanhoe,8/74 Marshall St,2,Apartment,440000.0,2.0,1.0,0.0,59.0,-37.7711,145.047
3359,Ivanhoe,9 Cook St,3,Bungalow,981000.0,5.0,3.0,2.0,3.0,-37.76,145.0326
3360,Ivanhoe,20 Locksley Rd,4,Bungalow,2400000.0,0.0,2.0,2.0,99.0,-37.7727,145.0484
3361,Ivanhoe,3/11 Oriel Rd,3,Townhouse,890000.0,3.0,2.0,2.0,14.0,-37.766,145.0345
3362,Ivanhoe,6/105 Locksley Rd,2,Apartment,490000.0,2.0,1.0,1.0,59.0,-37.7669,145.0505
3363,Ivanhoe,5/52 Locksley Rd,2,Apartment,739000.0,2.0,1.0,1.0,54.0,-37.7702,145.0493
3365,Ivanhoe,1/34 Edwin St,3,Bungalow,785000.0,3.0,2.0,0.0,69.0,-37.7551,145.05
3366,Ivanhoe,950 Heidelberg Rd,3,Bungalow,1155000.0,3.0,1.0,2.0,74.0,-37.7773,145.0379
3368,Ivanhoe,24 Dalveen Rd,2,Bungalow,1020000.0,2.0,1.0,1.0,64.0,-37.7568,145.0355
3371,Ivanhoe,5 Stanley St,3,Bungalow,1465000.0,3.0,1.0,2.0,59.0,-37.7635,145.039
3372,Ivanhoe,3/8 Green St,3,Townhouse,855000.0,3.0,2.0,2.0,39.0,-37.765,145.0422
3375,Ivanhoe,5/30 Magnolia Rd,1,Apartment,413000.0,1.0,1.0,1.0,59.0,-37.7591,145.0501
3376,Ivanhoe,1/37 Myrtle St,3,Townhouse,1010000.0,3.0,2.0,2.0,16.0,-37.7554,145.0516
3377,Ivanhoe,30 Oriel Rd,3,Bungalow,1220000.0,3.0,1.0,1.0,44.0,-37.7634,145.0361
3378,Ivanhoe,10 Abbotsford Gr,3,Bungalow,1605000.0,3.0,2.0,2.0,99.0,-37.7702,145.0398
3379,Ivanhoe,6/14 Athelstane Gr,2,Apartment,587000.0,2.0,1.0,1.0,59.0,-37.7634,145.0406
3380,Ivanhoe,2/80 Marshall St,2,Apartment,475000.0,2.0,1.0,1.0,59.0,-37.7707,145.0471
3381,Ivanhoe,114 Bond St,3,Bungalow,1075000.0,3.0,1.0,2.0,69.0,-37.7616,145.0322
3382,Ivanhoe,6/11 Rose St,2,Apartment,465000.0,2.0,1.0,1.0,49.0,-37.7744,145.0415
3385,Ivanhoe,33 Livingstone St,3,Bungalow,1535000.0,3.0,1.0,2.0,69.0,-37.7674,145.0392
3386,Ivanhoe,19 Myrtle St,4,Bungalow,1470000.0,4.0,2.0,1.0,69.0,-37.7565,145.0506
3387,Ivanhoe,171 Waterdale Rd,3,Bungalow,1486000.0,3.0,1.0,2.0,89.0,-37.7634,145.0439
3388,Ivanhoe,3/16 Elphin St,1,Apartment,420000.0,1.0,1.0,1.0,49.0,-37.7772,145.0414
3389,Ivanhoe,3/24 Green St,3,Townhouse,750000.0,3.0,1.0,1.0,29.0,-37.765,145.0407
3392,Ivanhoe,44 Beatty St,5,Bungalow,1730000.0,4.0,2.0,2.0,12.0,-37.7591,145.04
3393,Ivanhoe,4/24 St Elmo Rd,2,Townhouse,779000.0,3.0,1.0,2.0,49.0,-37.7635,145.0464
3394,Ivanhoe,32 Ailsa Gr,3,Bungalow,1850000.0,3.0,2.0,2.0,19.0,-37.7659,145.0392
3396,Ivanhoe,6 Fairy St,5,Bungalow,2600000.0,5.0,3.0,1.0,99.0,-37.7765,145.0427
3397,Ivanhoe,5/14 Athelstane Gr,2,Apartment,500000.0,2.0,1.0,1.0,59.0,-37.7634,145.0406
3400,Ivanhoe,113 Green St,3,Bungalow,1102000.0,3.0,1.0,1.0,69.0,-37.7645,145.0314
3401,Ivanhoe,13 Jellicoe St,3,Bungalow,1275000.0,3.0,2.0,2.0,69.0,-37.7587,145.0426
3403,Ivanhoe,5/139 Bond St,2,Townhouse,785000.0,2.0,2.0,1.0,9.0,-37.7618,145.0287
3404,Ivanhoe,15 Kwinana Ct,3,Bungalow,1223500.0,3.0,2.0,2.0,39.0,-37.758,145.0408
3405,Ivanhoe,2/53 Norman St,2,Apartment,845000.0,2.0,2.0,2.0,39.0,-37.7679,145.0467
3406,Ivanhoe,3 Scotts Pde,4,Bungalow,1720000.0,4.0,2.0,3.0,84.0,-37.7771,145.0448
3407,Ivanhoe,103 Waterdale Rd,3,Bungalow,1225000.0,3.0,1.0,1.0,89.0,-37.7709,145.0425
3409,Ivanhoe,79 Marshall St,4,Bungalow,1460000.0,4.0,1.0,2.0,79.0,-37.7707,145.0467
3410,Ivanhoe,3/14 Merton St,1,Apartment,421000.0,1.0,1.0,1.0,27.0,-37.7753,145.0419
3411,Ivanhoe,11 Abbotsford Gr,4,Bungalow,2090000.0,4.0,3.0,2.0,39.0,-37.7705,145.0396
3413,Ivanhoe,1/10 Oriel Rd,3,Townhouse,700000.0,3.0,2.0,1.0,29.0,-37.7661,145.0354
3414,Ivanhoe,35 Green St,5,Bungalow,1420000.0,5.0,3.0,1.0,13.0,-37.7653,145.0392
3415,Ivanhoe,2/94 Oriel Rd,3,Townhouse,550000.0,3.0,1.0,1.0,49.0,-37.757,145.0382
3416,Ivanhoe,4 Waterdale Rd,4,Bungalow,2595000.0,4.0,3.0,3.0,12.0,-37.7815,145.0403
3417,Ivanhoe,2/92 Beatty St,2,Townhouse,710000.0,2.0,1.0,1.0,7.0,-37.7582,145.034
3418,Ivanhoe,7/3 Kenilworth Pde,3,Apartment,650000.0,3.0,2.0,2.0,19.0,-37.7694,145.0406
3419,Ivanhoe,2/29 St Elmo Rd,1,Apartment,385000.0,1.0,1.0,1.0,49.0,-37.7638,145.0458
3424,Kealba,3 Stenson Rd,3,Bungalow,515000.0,3.0,1.0,4.0,44.0,-37.7392,144.8241
3426,Kealba,128 Driscolls Rd,3,Bungalow,582000.0,3.0,2.0,4.0,39.0,-37.7375,144.8282
3427,Kealba,6 McGrath Cl,3,Bungalow,545000.0,3.0,2.0,2.0,39.0,-37.7367,144.8246
3429,Kealba,44 Stenson Rd,4,Bungalow,751000.0,4.0,2.0,2.0,19.0,-37.7382,144.8292
3430,Kealba,26 Calverton Rd,4,Bungalow,500000.0,4.0,1.0,2.0,34.0,-37.7336,144.8226
3431,Kealba,4 Woolstone Cl,4,Bungalow,560000.0,4.0,2.0,2.0,39.0,-37.7378,144.8264
3434,Keilor East,16 Border Dr,3,Bungalow,703000.0,3.0,2.0,2.0,24.0,-37.7402,144.8591
3435,Keilor East,121 Sterling Dr,3,Bungalow,650000.0,3.0,1.0,1.0,49.0,-37.7441,144.8503
3436,Keilor East,3A Cudgewa Pl,3,Townhouse,770000.0,3.0,2.0,1.0,9.0,-37.7325,144.8621
3437,Keilor East,2/64 Dinah Pde,3,Townhouse,480000.0,3.0,2.0,1.0,7.0,-37.7424,144.8639
3438,Keilor East,14 Hawthorn Ct,3,Bungalow,590000.0,3.0,1.0,2.0,45.0,-37.7455,144.8484
3439,Keilor East,16 Roberts St,4,Bungalow,900000.0,4.0,2.0,1.0,8.0,-37.7506,144.8689
3441,Keilor East,1 Giuliano Ct,3,Bungalow,700000.0,3.0,2.0,2.0,20.0,-37.7514,144.8731
3443,Keilor East,15 Viewbank Dr,4,Bungalow,816000.0,4.0,2.0,1.0,41.0,-37.7482,144.877
3444,Keilor East,74 Lincoln Dr,4,Bungalow,845000.0,3.0,1.0,1.0,54.0,-37.7425,144.8683
3445,Keilor East,154 Milleara Rd,3,Bungalow,725000.0,3.0,1.0,1.0,54.0,-37.7411,144.8638
3446,Keilor East,27 Judith St,3,Bungalow,772000.0,3.0,2.0,3.0,39.0,-37.7465,144.876
3447,Keilor East,9a The Crossway,3,Bungalow,650000.0,3.0,2.0,2.0,6.0,-37.747,144.8663
3448,Keilor East,57 Wonganella Dr,3,Bungalow,757000.0,3.0,2.0,1.0,59.0,-37.7295,144.8644
3449,Keilor East,86 Prospect Dr,3,Bungalow,690000.0,3.0,2.0,2.0,49.0,-37.7469,144.8526
3451,Keilor East,4a Cohen St,3,Bungalow,583000.0,3.0,1.0,1.0,16.0,-37.7459,144.8643
3452,Keilor East,45 Nyah St,4,Bungalow,920000.0,3.0,2.0,2.0,44.0,-37.7323,144.8683
3453,Keilor East,15 Craig St,3,Bungalow,880000.0,3.0,1.0,2.0,39.0,-37.7435,144.8798
3454,Keilor East,17/24 Craig St,3,Apartment,580000.0,3.0,2.0,2.0,6.0,-37.7434,144.881
3455,Keilor East,4 Milleara Rd,4,Townhouse,886000.0,4.0,3.0,1.0,69.0,-37.7293,144.8659
3457,Keilor East,1 Nicholas Ct,4,Bungalow,920000.0,4.0,2.0,2.0,27.0,-37.7479,144.8805
3462,Keilor East,117 Brees Rd,3,Bungalow,976000.0,3.0,3.0,2.0,39.0,-37.7459,144.8788
3464,Keilor East,61 Rachelle Rd,4,Bungalow,1420000.0,4.0,2.0,2.0,8.0,-37.7453,144.8721
3465,Keilor East,21 Woorite Pl,3,Bungalow,900000.0,3.0,1.0,1.0,49.0,-37.7301,144.8671
3470,Keilor East,2/49 Quinn Gr,3,Apartment,560000.0,3.0,1.0,2.0,19.0,-37.7459,144.8673
3471,Keilor East,4 Trent Ct,4,Bungalow,1010000.0,4.0,2.0,2.0,39.0,-37.7502,144.8745
3474,Keilor East,13 Pennington St,4,Bungalow,835000.0,4.0,2.0,3.0,29.0,-37.7452,144.8652
3475,Keilor East,1/31 Surrey Dr,3,Townhouse,705000.0,3.0,2.0,1.0,24.0,-37.7517,144.8776
3476,Keilor East,7 Park Dr,3,Townhouse,680000.0,3.0,2.0,2.0,21.0,-37.749,144.8599
3480,Keilor East,83 Wyong St,3,Bungalow,785000.0,3.0,1.0,2.0,54.0,-37.7311,144.8663
3481,Keilor East,35 Gungarlan Dr,3,Bungalow,695000.0,3.0,2.0,2.0,49.0,-37.734,144.8593
3483,Keilor East,1/67 Milleara Rd,2,Apartment,502000.0,5.0,1.0,2.0,29.0,-37.7346,144.8646
3484,Keilor East,54 Norwood Dr,4,Bungalow,770000.0,4.0,2.0,2.0,49.0,-37.7428,144.8536
3486,Keilor East,94 Sterling Dr,3,Bungalow,570000.0,3.0,1.0,2.0,49.0,-37.7408,144.8553
3487,Keilor East,23 Chappell Pl,4,Bungalow,830000.0,4.0,2.0,2.0,24.0,-37.7394,144.8628
3488,Keilor East,23 Prospect Dr,3,Bungalow,600000.0,3.0,1.0,1.0,49.0,-37.7498,144.8585
3489,Keilor East,20 Keith Gr,3,Bungalow,825000.0,3.0,2.0,1.0,2.0,-37.7378,144.8705
3492,Keilor East,24 Yallop Ct,4,Bungalow,735000.0,4.0,2.0,2.0,19.0,-37.7381,144.8554
3493,Keilor East,83 Milleara Rd,3,Bungalow,875000.0,3.0,2.0,2.0,49.0,-37.7362,144.8643
3494,Keilor East,40 Borva Dr,3,Bungalow,601200.0,4.0,1.0,1.0,59.0,-37.7303,144.8636
3496,Keilor East,60 Wonganella Dr,3,Bungalow,680000.0,3.0,1.0,2.0,39.0,-37.7305,144.8646
3502,Keilor East,26 Norwood Dr,3,Bungalow,705000.0,3.0,1.0,2.0,49.0,-37.7449,144.8533
3503,Keilor East,2/6 Shelley St,3,Townhouse,710000.0,3.0,2.0,1.0,6.0,-37.7415,144.8668
3504,Keilor East,23 Viewbank Dr,4,Bungalow,732000.0,4.0,2.0,2.0,39.0,-37.7479,144.8763
3505,Keilor East,8 Alwyn Ct,3,Bungalow,715000.0,3.0,2.0,4.0,49.0,-37.7487,144.8526
3507,Kensington,65 Gatehouse Dr,3,Bungalow,852000.0,3.0,1.0,1.0,19.0,-37.7929,144.9197
3508,Kensington,35 Henry St,3,Bungalow,1037000.0,3.0,1.0,1.0,109.0,-37.7953,144.9275
3510,Kensington,14 Hardiman St,3,Bungalow,1470000.0,3.0,1.0,1.0,109.0,-37.7957,144.93200000000004
3513,Kensington,403/72 Altona St,2,Apartment,492500.0,2.0,1.0,1.0,11.0,-37.7974,144.9261
3514,Kensington,2/65 Bayswater Rd,2,Apartment,420000.0,2.0,1.0,1.0,49.0,-37.794000000000004,144.923
3516,Kensington,56 Tennyson St,3,Bungalow,1050000.0,3.0,1.0,1.0,119.0,-37.7984,144.929
3518,Kensington,1/16 Mawbey St,2,Apartment,420000.0,2.0,1.0,1.0,17.0,-37.7899,144.9231
3520,Kensington,72 Bayswater Rd,3,Bungalow,1271000.0,3.0,1.0,1.0,119.0,-37.7938,144.9228
3521,Kensington,67 Collett St,3,Bungalow,1010000.0,3.0,1.0,0.0,119.0,-37.7923,144.9332
3522,Kensington,4/130 Kensington Rd,2,Townhouse,750000.0,2.0,1.0,1.0,17.0,-37.7976,144.9213
3524,Kensington,10 Altona St,2,Bungalow,905000.0,2.0,2.0,1.0,20.0,-37.799,144.9276
3525,Kensington,70 Hardiman St,2,Bungalow,960000.0,2.0,1.0,1.0,119.0,-37.7959,144.9343
3526,Kensington,94 McConnell St,2,Bungalow,1031000.0,2.0,1.0,1.0,119.0,-37.7929,144.9287
3527,Kensington,59 The Crescent,3,Townhouse,918000.0,3.0,2.0,1.0,21.0,-37.7938,144.9186
3528,Kensington,13 Youlden St,3,Bungalow,870000.0,3.0,1.0,1.0,27.0,-37.7891,144.92600000000004
3529,Kensington,41 Barnett St,3,Bungalow,1165000.0,3.0,1.0,0.0,109.0,-37.7923,144.9324
3530,Kensington,11 Nottingham St,5,Bungalow,1710000.0,5.0,2.0,2.0,129.0,-37.7893,144.933
3532,Kensington,39 Henry St,3,Bungalow,1455000.0,3.0,1.0,0.0,119.0,-37.7954,144.9274
3533,Kensington,114/71 Henry St,1,Apartment,365000.0,1.0,1.0,1.0,7.0,-37.7961,144.9261
3535,Kensington,118/80 Ormond St,2,Apartment,442000.0,2.0,2.0,1.0,9.0,-37.7976,144.9285
3536,Kensington,51 Rankins Rd,2,Bungalow,765000.0,2.0,1.0,2.0,54.0,-37.7902,144.9319
3537,Kensington,407/72 Altona St,2,Apartment,515000.0,2.0,1.0,1.0,9.0,-37.7974,144.9261
3538,Kensington,17/29 Bendall St,3,Apartment,570000.0,3.0,1.0,2.0,29.0,-37.7897,144.9239
3539,Kensington,119/71 Henry St,1,Apartment,370000.0,1.0,1.0,1.0,7.0,-37.7961,144.9261
3541,Kensington,109 Rankins Rd,2,Bungalow,1234500.0,2.0,2.0,2.0,11.0,-37.7922,144.9316
3542,Kensington,11/33 Rankins Rd,2,Apartment,666000.0,2.0,1.0,2.0,21.0,-37.7896,144.9321
3543,Kensington,32 Epsom Rd,2,Bungalow,825000.0,2.0,1.0,1.0,104.0,-37.7925,144.9264
3547,Kensington,14 Altona St,2,Townhouse,812000.0,2.0,1.0,0.0,132.0,-37.7989,144.9275
3548,Kensington,11 Nottingham St,5,Bungalow,1900000.0,5.0,2.0,2.0,129.0,-37.7893,144.933
3549,Kensington,13/26 Barnett St,1,Apartment,445000.0,1.0,1.0,0.0,22.0,-37.7913,144.9323
3550,Kensington,38 Rourke La,2,Bungalow,732000.0,3.0,2.0,1.0,17.0,-37.7934,144.9166
3551,Kensington,33 Barnett St,3,Bungalow,1260000.0,3.0,2.0,2.0,119.0,-37.792,144.9324
3552,Kensington,51 Gatehouse Dr,3,Bungalow,1000000.0,3.0,2.0,2.0,22.0,-37.7926,144.9197
3553,Kensington,26 Hopetoun St,2,Bungalow,1155000.0,2.0,1.0,1.0,129.0,-37.7918,144.9264
3554,Kensington,25 Rogan La,2,Townhouse,700000.0,2.0,1.0,3.0,22.0,-37.7917,144.9231
3557,Kensington,148b Kensington Rd,3,Townhouse,790000.0,3.0,2.0,2.0,16.0,-37.7982,144.9202
3559,Kensington,66 Parsons St,2,Townhouse,700000.0,2.0,2.0,1.0,10.0,-37.7903,144.9345
3561,Kensington,49 Robertson St,3,Bungalow,1230000.0,3.0,1.0,1.0,104.0,-37.793,144.934
3562,Kensington,208/465 MacAulay Rd,2,Apartment,460000.0,2.0,1.0,1.0,9.0,-37.7948,144.9314
3563,Kensington,1/16 Mawbey St,2,Apartment,395000.0,2.0,1.0,1.0,17.0,-37.7899,144.9231
3565,Kensington,123 Rankins Rd,2,Bungalow,850000.0,2.0,1.0,1.0,119.0,-37.7925,144.9315
3567,Kensington,5 Rogan La,2,Bungalow,868000.0,2.0,1.0,1.0,19.0,-37.7921,144.9234
3568,Kensington,25 Chelmsford St,2,Bungalow,960000.0,2.0,1.0,0.0,119.0,-37.7963,144.9327
3569,Kensington,1/5 Wight St,2,Townhouse,773000.0,2.0,1.0,1.0,49.0,-37.7937,144.9295
3570,Kensington,111/18 Bent St,2,Apartment,631090.0,2.0,2.0,1.0,7.0,-37.7956,144.935
3571,Kensington,10/2 Howlett St,2,Apartment,410000.0,2.0,1.0,1.0,19.0,-37.7897,144.9228
3572,Kensington,301/84 Altona St,2,Apartment,425000.0,2.0,1.0,1.0,13.0,-37.7966,144.9254
3579,Kew,13 Annadale St,3,Bungalow,1635000.0,3.0,1.0,2.0,29.0,-37.8102,145.0451
3583,Kew,9 Ross St,5,Bungalow,4350000.0,5.0,3.0,2.0,89.0,-37.8151,145.0555
3585,Kew,3/81 Derby St,2,Apartment,630000.0,2.0,1.0,2.0,49.0,-37.8003,145.0375
3587,Kew,2/27 Pakington St,2,Apartment,610000.0,2.0,1.0,1.0,51.0,-37.8024,145.0346
3588,Kew,6 Wellington St,3,Bungalow,1490000.0,3.0,2.0,2.0,49.0,-37.8093,145.0299
3589,Kew,14/25 Derby St,2,Apartment,588000.0,2.0,1.0,1.0,37.0,-37.8034,145.0369
3590,Kew,4/76 Studley Park Rd,3,Apartment,882000.0,3.0,2.0,2.0,69.0,-37.8064,145.0182
3591,Kew,4/11 Bowen St,2,Apartment,831000.0,2.0,1.0,1.0,49.0,-37.8117,145.0222
3592,Kew,57 Cobden St,4,Bungalow,2130000.0,4.0,2.0,2.0,34.0,-37.802,145.036
3597,Kew,94 Argyle Rd,4,Bungalow,3550000.0,4.0,3.0,4.0,84.0,-37.8046,145.0603
3598,Kew,73 Cobden St,2,Bungalow,1326000.0,2.0,1.0,2.0,129.0,-37.8012,145.0361
3599,Kew,4/4 St Johns Pde,2,Apartment,610000.0,2.0,1.0,1.0,59.0,-37.8092,145.0366
3600,Kew,7 Clevedon Ct,4,Bungalow,1950000.0,3.0,2.0,2.0,19.0,-37.8147,145.0438
3603,Kew,4 Franks Gr,4,Bungalow,2550000.0,4.0,2.0,2.0,89.0,-37.8095,145.0391
3604,Kew,8 Merrion Pl,3,Bungalow,1878000.0,3.0,2.0,1.0,4.0,-37.8081,145.0263
3605,Kew,75 Derby St,4,Bungalow,1910000.0,4.0,3.0,2.0,3.0,-37.8007,145.0374
3606,Kew,17 Gladstone St,3,Bungalow,1410000.0,3.0,1.0,2.0,134.0,-37.8023,145.0404
3608,Kew,31 Miller Gr,3,Bungalow,2310000.0,3.0,1.0,2.0,99.0,-37.8107,145.0219
3609,Kew,3/8 Mountain Gr,2,Bungalow,890000.0,2.0,1.0,1.0,49.0,-37.8128,145.0588
3611,Kew,88 Edgevale Rd,4,Bungalow,2315000.0,4.0,2.0,0.0,119.0,-37.8125,145.043
3612,Kew,1/204 Brougham St,3,Townhouse,800000.0,3.0,2.0,2.0,49.0,-37.796,145.0324
3614,Kew,23 Grange Rd,5,Bungalow,4850000.0,5.0,4.0,4.0,89.0,-37.8112,145.05700000000004
3615,Kew,419 Barkers Rd,3,Bungalow,2770000.0,3.0,3.0,4.0,92.0,-37.8168,145.056
3616,Kew,15 Barry St,6,Bungalow,6500000.0,6.0,6.0,3.0,129.0,-37.8029,145.0267
3617,Kew,4/35 Studley Park Rd,2,Apartment,580000.0,2.0,1.0,1.0,49.0,-37.8071,145.0243
3619,Kew,3 Oshaughnessy St,3,Bungalow,1905000.0,4.0,2.0,2.0,109.0,-37.812,145.0268
3620,Kew,2/120 Princess St,2,Apartment,478000.0,1.0,1.0,1.0,49.0,-37.7997,145.0304
3621,Kew,3/75 Alfred St,2,Apartment,672000.0,2.0,1.0,1.0,53.0,-37.8108,145.0545
3622,Kew,33 Argyle Rd,4,Bungalow,2286000.0,4.0,3.0,2.0,44.0,-37.8034,145.0527
3623,Kew,71 Peel St,3,Bungalow,1575000.0,3.0,2.0,2.0,79.0,-37.8013,145.0335
3624,Kew,11/48 Princess St,2,Apartment,590000.0,2.0,1.0,1.0,44.0,-37.805,145.0294
